customer_id,customer_name,customer_gender,cluster_ward,latitude,longitude
24099,Raymond Maicus,1,outlier,38.71681786682647,-9.183664967250587
28426,David Sheffield,1,outlier,38.7368269413239,-9.150802554878393
35858,Ethel Stevens,0,outlier,38.75997303785381,-9.166222630475689
25940,Joseph Smith,1,outlier,38.759799725071815,-9.16656626441533
14772,James Powers,1,outlier,38.7488369306645,-9.172140748203674
23287,Lucille Sutherland,0,outlier,38.76304091580855,-9.095581489246968
45010,Edward Na,1,outlier,38.73549144951144,-9.150268704607504
44224,Jacinta Mccay,0,outlier,38.76088979716328,-9.166605112664625
36846,Richard Bellew,1,outlier,38.75928019235552,-9.166913751982028
28826,Timothy Simcoe,1,outlier,38.76054958758895,-9.166715111371632
49556,Ronald Dill,1,outlier,38.7475921563092,-9.172037386400875
49044,Nicholas Reese,1,outlier,38.76296308676961,-9.095356811151133
37713,Kathleen Avila,0,outlier,38.715222492970106,-9.156370481742726
37843,James Jennings,1,outlier,38.76446061446802,-9.096188349547525
11620,Jason Penton,1,outlier,38.73690860903429,-9.149097076697933
46857,Richard Henderson,1,outlier,38.763330167408256,-9.094671825951446
46598,Gerald Postel,1,outlier,38.76310859840304,-9.0959394305381
46111,Jenna Gist,0,outlier,38.75981669457285,-9.166714643882496
3260,Mary Harpole,0,outlier,38.748165730967806,-9.172294337099364
40166,Malik No,1,outlier,38.73654077568328,-9.150470149843734
29806,Rebecca Porter,0,outlier,38.73646157482784,-9.149326963158488
43933,Kenneth Foster,1,outlier,38.76050703563501,-9.166136724210386
28221,Kim Toppa,0,outlier,38.74854241768985,-9.172314324566257
48044,Laura Smith,0,outlier,38.736727493258215,-9.148888359831238
42463,Irena Strachan,0,outlier,38.74756966224239,-9.17299170327805
47204,Aaron Steadman,1,outlier,38.76559875769508,-9.179896100768731
19793,Nicholas Floyd,1,outlier,38.75947223837485,-9.166292846053738
18756,Nancy Maldonado,0,outlier,38.76356285919964,-9.204121370918507
32855,Ricky Stanford,1,outlier,38.747296898286656,-9.172264943659956
1704,Clifford Tep,1,outlier,38.747803861542366,-9.172291285142208
18556,Michael Lewis,1,outlier,38.76041827095399,-9.16647317282601
47751,Steven Green,1,outlier,38.759964794129615,-9.167472256650608
24248,Jessie Craig,0,outlier,38.74861935574441,-9.173433344101138
29849,Melissa Neller,0,outlier,38.76405836770611,-9.095706239004793
36626,Lisa Showers,0,outlier,38.76326411857065,-9.095027310926618
41280,Lenore Johnston,0,outlier,38.73576869497448,-9.149512191708046
39697,Vanessa Mcneill,0,outlier,38.7491799311955,-9.172503055603077
25884,Michael Defranco,1,outlier,38.73679079656464,-9.149386270100187
30159,Lucille Corbett,0,outlier,38.748737429331726,-9.172142022389226
2791,Heather Foster,0,outlier,38.760215229198735,-9.167237000110529
31796,David Simmons,1,outlier,38.748058782039294,-9.172415977269292
41874,Carl Goodemote,1,outlier,38.76018718311088,-9.166004697223226
10143,Vincent Casias,1,outlier,38.76018544958338,-9.1659527510091
14411,Paul Teneyck,1,outlier,38.736436333132815,-9.150174140411997
45685,Joseph Torres,1,outlier,38.76063811119567,-9.166807919236932
25538,Brian Fenton,1,outlier,38.760435950517945,-9.167178884307669
38912,Gene Monteiro,1,outlier,38.73736752967379,-9.150710320608216
8370,Casey Williams,1,outlier,38.736421872212,-9.150714344830078
21396,Jimmy Mezzatesta,1,outlier,38.76099527115223,-9.165814787939135
9822,Joyce Sheffield,0,outlier,38.73652957593997,-9.149899183875055
18692,Shirley Mcdonald,0,outlier,38.74848799277575,-9.17389554896902
36482,Philip Hauser,1,outlier,38.73740040784876,-9.150024564882951
28766,Timothy Mcguire,1,outlier,38.76365138068219,-9.095968951196747
1231,Angel Rios,1,outlier,38.76328514062854,-9.094552365253683
27154,Amanda Mccabe,0,outlier,38.76026631549032,-9.16643207693774
29809,Milton Yates,1,outlier,38.73608685952811,-9.149488621970262
44938,Lucille Reiser,0,outlier,38.76074167064343,-9.166264759210511
30869,Ernest Hufton,1,outlier,38.76366338060292,-9.095719024049846
1025,James Watson,1,outlier,38.76317132272763,-9.09443836687402
49553,Scot Robert,1,outlier,38.76459642850988,-9.096130981437778
7349,James Brown,1,outlier,38.76477372796015,-9.095703353591636
4574,Larry Newsom,1,outlier,38.78754309628544,-9.175926937867205
38242,Roger Stanley,1,outlier,38.7366195302457,-9.14934946018558
5854,Margarita Turner,0,outlier,38.7361538864786,-9.15080371057681
6475,Michelle Carpenter,0,outlier,38.75925719586591,-9.167237532251624
27008,Michael Collins,1,outlier,38.76077729579304,-9.165972460350478
20209,Joseph Young,1,outlier,38.76361038131861,-9.095482921372383
35961,Bryant Scott,1,outlier,38.76365691716904,-9.094790144747982
11555,Jeffrey Rodriguez,1,outlier,38.74882328458451,-9.173070874885289
1354,Yen Guerrera,0,outlier,38.74904291770973,-9.17291075013059
2932,Avis Hall,0,outlier,38.73733420014231,-9.150032600668386
22539,Jon Chun,1,outlier,38.73585025379352,-9.149284513835395
6747,Kristin Nelson,0,outlier,38.74856154777672,-9.172122660094594
46528,Joy Gillespie,0,outlier,38.76481898414922,-9.095096923089413
14939,Regina Jeffrie,0,outlier,38.76444135078397,-9.095945037072866
22735,Marjorie Waters,0,outlier,38.74788604859251,-9.17244925918331
19646,Frank Daniels,1,outlier,38.736227849221926,-9.149015154175736
1960,Myrtice Mcnab,0,outlier,38.74592786747517,-9.175829104137062
48975,Jeremy Waddell,1,outlier,38.73617473801584,-9.14929184127804
38356,Lauren Zurawski,0,outlier,38.7645214362196,-9.09473311022888
7530,Randall Hornlein,1,outlier,38.71551989543688,-9.139655478839485
19777,Diana Benner,0,outlier,38.74737910111246,-9.17338479552191
675,Robert Mcclinsey,1,outlier,38.7369006205028,-9.148932562645832
29759,Gina Little,0,outlier,38.74045641040144,-9.176129894960436
37427,Ramona Hyde,0,outlier,38.75959720792074,-9.165770521767271
23358,Shawn Burgess,0,outlier,38.76474918971308,-9.09585776098774
5495,Samantha Nabb,0,outlier,38.76375152242617,-9.095858864670994
31096,Cynthia Blanchard,0,outlier,38.76058221060886,-9.16586185700991
39853,Marshall Leng,1,outlier,38.73634111514284,-9.150259836003324
39555,Tom Gadson,1,outlier,38.74834042417477,-9.17219048890024
43664,Emma Balmos,0,outlier,38.75915760110835,-9.166670620840982
49422,Mary Barnhill,0,outlier,38.7361463249961,-9.149786865808602
1315,Dale Childress,1,outlier,38.74826082514237,-9.173424853631554
36769,Douglas Vance,1,outlier,38.75964431966898,-9.165783237542856
10505,Joseph Armijo,1,outlier,38.76318663673513,-9.095856794917164
44630,Robert Clark,1,outlier,38.764148429220654,-9.095223203233182
17909,Gary Chin,1,outlier,38.7595040968876,-9.166241899850831
13655,Matthew Karn,1,outlier,38.763361055672334,-9.09626640494663
6085,Dora Sheffield,0,outlier,38.764235378444944,-9.095446633897572
7920,Alton Cal,1,outlier,38.76421529891152,-9.094655767709392
12590,Janet Evans,0,outlier,38.75939066368168,-9.167210435670372
37032,Catherine Gay,0,outlier,38.73585923535133,-9.149103197720413
31057,Earl Washington,1,outlier,38.74873867531262,-9.172202640355502
8841,Joseph Ray,1,outlier,38.76358884314123,-9.096314507945726
40930,Allan Culp,1,outlier,38.73606747296089,-9.14995684509897
44853,Andy Barnett,1,outlier,38.76066122446316,-9.165640770503847
21999,Allison Thaniel,0,outlier,38.748420815271935,-9.173126034868512
2139,Steven Amaker,1,outlier,38.74776566743692,-9.173590975929311
44705,Rose Lemmons,0,outlier,38.76306475844789,-9.096116561384669
768,Martha Seals,0,outlier,38.75131076659218,-9.146639010276209
42017,Mike Garcia,1,outlier,38.75963466913692,-9.165765470827312
19,Evelyn Quinn,0,outlier,38.73741144408969,-9.149538726770924
47782,Jerry Pontbriand,1,outlier,38.76370837640232,-9.096147120766329
872,Jerome Davis,1,outlier,38.7362841822242,-9.15050292473332
4005,Marc Eagle,1,outlier,38.7098625938111,-9.1663237682292
3051,George Smith,1,outlier,38.759739887801615,-9.167463021162202
19686,Benjamin Ross,1,outlier,38.74812587144098,-9.172584258843022
30426,Lisa Miles,0,outlier,38.74148900379713,-9.205035980291612
12245,Kenneth Erickson,1,outlier,38.76384529883961,-9.095304695675305
31144,Wade Hopson,1,outlier,38.760640468460124,-9.16728462426281
14175,Julie Cardella,0,outlier,38.74761028639839,-9.172690233983484
10859,Robert Rios,1,outlier,38.73681287227493,-9.149308447682095
21406,Mathew Reynolds,1,outlier,38.75947217890571,-9.16625425946286
2170,John Anaya,1,outlier,38.74861832149197,-9.173832928102655
2784,Helen Farrow,0,outlier,38.760260406667065,-9.167509503362869
27652,Tami Wright,0,outlier,38.76400992431161,-9.09598748755379
28098,Timothy Verdino,1,outlier,38.76044398865325,-9.16622871279085
9567,Thomas Owens,1,outlier,38.759162657620095,-9.167266351259476
46916,Elisa Helland,0,outlier,38.74760092043283,-9.173801038740567
41146,Rigoberto Bonifacio,1,outlier,38.7609998178677,-9.167375546603422
39707,Rea Hainley,0,outlier,38.747294737979104,-9.173381781587937
26952,Thomas Singer,1,outlier,38.74810283255877,-9.172527014039323
31823,Mary Weese,0,outlier,38.764023608494426,-9.09609144659569
12539,Deborah Boston,0,outlier,38.76096327534798,-9.166798852511404
35755,Amy Nardone,0,outlier,38.73609176566563,-9.150121841844928
29944,Kim Grunder,0,outlier,38.73589202462876,-9.14887527408234
48635,Frank Harr,1,outlier,38.73729785201677,-9.149796483534766
7331,Carmelita Broddy,0,outlier,38.74915483025088,-9.172055532747578
10522,Marilyn Deshields,0,outlier,38.74919776046323,-9.173579740797868
43005,Cindy Gifford,0,outlier,38.76464528992718,-9.095458474113125
19558,Judith Mistretta,0,outlier,38.74758775168965,-9.172059580397171
42001,Steven Ramsey,1,outlier,38.74828748491296,-9.189806343476498
13295,Maggie Randall,0,outlier,38.76336593159359,-9.096266526293144
34771,Tammy Williams,0,outlier,38.74819574364338,-9.173136397309298
