customer_id,customer_name,customer_gender,customer_age,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude,total_lifetime_spend,percentage_lifetime_spend_groceries,percentage_lifetime_spend_electronics,percentage_lifetime_spend_fish,percentage_lifetime_spend_vegetables,percentage_lifetime_spend_nonalcohol_drinks,percentage_lifetime_spend_alcohol_drinks,percentage_lifetime_spend_meat,percentage_lifetime_spend_hygiene,percentage_lifetime_spend_videogames,percentage_lifetime_spend_petfood,avg_spend_per_store,loyalty_years,degree
24099,Raymond Maicus,1,49,0.0,0.0,1.0,1.0,20640.0,48.0,11.0,25.0,438.0,77.0,296.0,138.0,101.0,0.0,10541.0,80.0,0.0840580507728374,2011.0,0,38.71681786682647,-9.183664967250587,32304.0,0.6389301634472511,0.0014858841010401188,0.004271916790490341,0.0007738979692917285,0.013558692421991085,0.0023836057454185242,0.009162951956414067,0.0031265477959385836,0.0,0.32630633977216444,32304.0,13.0,0
28426,David Sheffield,1,34,1.0,1.0,0.0,1.0,21753.0,9807.0,17.0,357.0,709.0,986.0,2493.0,3646.0,1863.0,4258.0,3160.0,95.0,0.0788890704425966,2015.0,0,38.7368269413239,-9.150802554878393,49032.0,0.4436490455212922,0.20001223690651004,0.07435960189264154,0.007280959373470387,0.01445994452602382,0.020109316364822973,0.050844346549192364,0.037995594713656385,0.08684124653287649,0.06444770761951378,49032.0,9.0,0
35858,Ethel Stevens,0,63,2.0,1.0,1.0,1.0,20904.0,8034.0,10.0,520.0,980.0,884.0,1900.0,4144.0,2021.0,3624.0,2928.0,37.0,0.1140147481045582,2011.0,0,38.75997303785381,-9.166222630475689,45939.0,0.45503820283419316,0.17488408541761902,0.0902065782886001,0.011319358279457542,0.021332636757439214,0.01924290907507782,0.041359193713402555,0.04399312131304556,0.07888722000914256,0.06373669431202246,45939.0,13.0,0
25940,Joseph Smith,1,62,1.0,1.0,1.0,1.0,22997.0,9017.0,16.8,453.0,517.0,632.0,2035.0,2981.0,1951.0,3868.0,1930.0,63.0,0.0524773187023054,2011.0,0,38.759799725071815,-9.16656626441533,46381.0,0.4958280330307669,0.1944115047109808,0.06427200793428343,0.009766930424096074,0.011146805804100816,0.013626269377546841,0.043875724973588326,0.0420646385373321,0.08339621827903668,0.04161186692826804,46381.0,13.0,0
14772,James Powers,1,67,1.0,1.0,0.0,1.0,20260.0,9910.0,6.0,483.0,693.0,440.0,2613.0,4320.0,2524.0,3302.0,3566.0,86.0,0.1555881991252088,2006.0,1,38.7488369306645,-9.172140748203674,48111.0,0.4211095175739436,0.20598199995842947,0.08979235517864938,0.01003928415539066,0.014404190309908338,0.009145517657084658,0.05431190372264139,0.05246201492382199,0.06863295296293986,0.07412026355719066,48111.0,18.0,1
23287,Lucille Sutherland,0,79,1.0,1.0,1.0,1.0,20161.0,1907.0,17.0,536.0,533.0,1478.0,2411.0,3661.0,1875.0,4219.0,3538.0,115.0,0.051446194837922,2004.0,1,38.76304091580855,-9.095581489246968,40319.0,0.5000372033036533,0.04729780004464396,0.09080086311664476,0.013293980505468886,0.013219573898162158,0.036657655199781744,0.05979811007217441,0.04650412956670552,0.10464049207569633,0.08775019221706888,40319.0,20.0,0
45010,Edward Na,1,50,1.0,1.0,0.0,1.0,20049.0,12132.0,17.0,419.0,330.0,1324.0,1602.0,4146.0,2631.0,3450.0,2637.0,75.0,0.2021521410326567,2011.0,0,38.73549144951144,-9.150268704607504,48720.0,0.4115147783251232,0.24901477832512314,0.08509852216748769,0.00860016420361248,0.0067733990147783255,0.027175697865353038,0.032881773399014776,0.05400246305418719,0.0708128078817734,0.0541256157635468,48720.0,13.0,0
44224,Jacinta Mccay,0,32,1.0,1.0,1.0,1.0,25165.0,7422.0,17.0,526.0,319.0,1244.0,1973.0,4521.0,1866.0,4271.0,1854.0,56.0,0.0529367458951187,2013.0,0,38.76088979716328,-9.166605112664625,49161.0,0.5118895059091556,0.15097333251968023,0.09196314151461524,0.010699538251866317,0.006488883464534896,0.02530461137893859,0.040133439108236205,0.03795691706840788,0.08687780964585749,0.03771282113870751,49161.0,11.0,0
36846,Richard Bellew,1,69,1.0,1.0,0.0,2.0,21040.0,6932.0,16.0,376.0,225.0,537.0,2230.0,3384.0,2107.0,4059.0,3022.0,118.0,-0.0705641168297183,2013.0,0,38.75928019235552,-9.166913751982028,43912.0,0.47914009837857535,0.15786117689925305,0.07706321734377847,0.008562579704864274,0.005123884131900164,0.012229003461468392,0.050783384951721626,0.04798232829294954,0.09243486973947895,0.0688194570960102,21956.0,11.0,0
28826,Timothy Simcoe,1,65,1.0,1.0,1.0,1.0,21251.0,9145.0,12.0,510.0,718.0,1446.0,1880.0,3172.0,1756.0,3544.0,3269.0,160.0,0.0252274797751716,2009.0,0,38.76054958758895,-9.166715111371632,46691.0,0.45514124777794435,0.19586215758925704,0.06793600479749845,0.01092287592897989,0.015377695915701099,0.03096956586922533,0.04026471911074939,0.03760896104174252,0.07590327900451907,0.07001349296438286,46691.0,15.0,0
