customer_id,customer_name,customer_gender,customer_age,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude,total_lifetime_spend,percentage_lifetime_spend_groceries,percentage_lifetime_spend_electronics,percentage_lifetime_spend_fish,percentage_lifetime_spend_vegetables,percentage_lifetime_spend_nonalcohol_drinks,percentage_lifetime_spend_alcohol_drinks,percentage_lifetime_spend_meat,percentage_lifetime_spend_hygiene,percentage_lifetime_spend_videogames,percentage_lifetime_spend_petfood,avg_spend_per_store,loyalty_years,degree,cluster_ward
47768,Alison Brown,0,53,5.0,1.0,1.0,1.0,4951.0,3426.0,17.0,538.0,536.0,288.0,1417.0,640.0,168.0,1147.0,945.0,467.0,0.1986541225478911,2004.0,0,38.79514258029104,-9.14428827994786,14056.0,0.352233921457029,0.243739328400683,0.0455321570859419,0.0382754695503699,0.0381331815594763,0.0204894706886738,0.1008110415480933,0.0119521912350597,0.0816021627774615,0.0672310756972111,14056.0,20.0,0,Large Families
29757,Lashonda Proctor,0,30,2.0,1.0,2.0,2.0,6804.0,3240.0,9.0,555.0,581.0,396.0,1513.0,2161.0,701.0,601.0,197.0,369.0,0.0932533113788508,2017.0,1,38.7479991937719,-9.214097944589309,16749.0,0.4062332079527136,0.1934443847393874,0.1290226282166099,0.0331363066451728,0.0346886381276494,0.0236432025792584,0.0903337512687324,0.0418532449698489,0.035882739268016,0.0117618962326109,8374.5,7.0,0,Large Families
28439,Elmer Cervantes,1,41,6.0,2.0,1.0,1.0,4965.0,1938.0,17.0,398.0,415.0,373.0,66.0,1853.0,1310.0,938.0,1019.0,496.0,0.188828202324978,2008.0,1,38.72493122089571,-9.128560742566938,13275.0,0.3740112994350282,0.1459887005649717,0.1395856873822975,0.0299811676082862,0.031261770244821,0.0280979284369114,0.0049717514124293,0.0986817325800376,0.0706591337099811,0.0767608286252354,13275.0,16.0,0,Large Families
19701,Hector Perez,1,68,1.0,2.0,1.0,1.0,3728.0,115.0,22.0,476.0,507.0,290.0,849.0,1319.0,1179.0,389.0,1520.0,21.0,0.1662520615849531,2009.0,1,38.76608317787968,-9.150219824488373,10372.0,0.3594292325491708,0.0110875433860393,0.1271693019668338,0.045892788276128,0.0488816043193212,0.0279598920169687,0.0818549942151947,0.1136714230620902,0.0375048206710374,0.1465483995372155,10372.0,15.0,0,Large Families
9304,John Blackwell,1,60,3.0,1.0,0.0,1.0,3644.0,1703.0,21.0,417.0,489.0,103.0,1575.0,618.0,281.0,969.0,1390.0,488.0,0.3111706893648046,2011.0,1,38.75017078336026,-9.13070351644095,11189.0,0.3256770042005541,0.1522030565734203,0.0552328179461971,0.0372687460899097,0.0437036375011171,0.0092054696576995,0.1407632496201626,0.0251139512020734,0.0866029135758334,0.1242291536330324,11189.0,13.0,2,Large Families
2030,Wesley Pace,1,48,1.0,1.0,1.0,1.0,5501.0,2233.0,20.0,595.0,501.0,412.0,583.0,698.0,1492.0,878.0,794.0,146.0,0.3216378670416586,2012.0,1,38.77852011409098,-9.182795491622617,13687.0,0.4019142251771754,0.1631475122378899,0.0509972967049024,0.0434719076495945,0.0366040768612552,0.0301015562212318,0.0425951632936362,0.1090085482574706,0.0641484620442755,0.0580112515525681,13687.0,12.0,1,Large Families
19908,Dennis Gunnoe,1,69,6.0,2.0,2.0,1.0,4907.0,237.0,19.0,547.0,289.0,306.0,1176.0,1065.0,965.0,1271.0,1166.0,795.0,0.0995149386584514,2014.0,1,38.76200788636634,-9.056902502059485,11929.0,0.4113504904015425,0.0198675496688741,0.0892782295246877,0.0458546399530555,0.0242266744907368,0.0256517729901919,0.0985832844328946,0.0808952971749518,0.1065470701651437,0.097744991197921,11929.0,10.0,0,Large Families
29867,Helen Evans,0,42,2.0,2.0,1.0,1.0,6525.0,640.0,22.0,520.0,493.0,424.0,1537.0,909.0,1144.0,1100.0,1052.0,452.0,0.3266360958001629,2006.0,1,38.75709632435305,-9.205985320088146,14344.0,0.45489403234802,0.0446179587283881,0.0633714445064138,0.0362520914668153,0.0343697713329615,0.0295593976575571,0.1071528165086447,0.0797546012269938,0.0766871165644171,0.073340769659788,14344.0,18.0,0,Large Families
39087,Gilbert Sweet,1,35,4.0,3.0,1.0,1.0,4859.0,1473.0,9.0,466.0,532.0,282.0,469.0,1166.0,1043.0,1104.0,1426.0,511.0,0.0517415178423856,2007.0,0,38.76053847320532,-9.192530921884655,12820.0,0.3790171606864274,0.1148985959438377,0.0909516380655226,0.0363494539781591,0.0414976599063962,0.021996879875195,0.0365834633385335,0.0813572542901716,0.0861154446177847,0.1112324492979719,12820.0,17.0,0,Large Families
49145,Ruben Bryant,1,46,4.0,2.0,1.0,1.0,5377.0,1599.0,22.0,504.0,692.0,245.0,800.0,1183.0,1249.0,903.0,924.0,432.0,0.0347516033378443,2010.0,0,38.716867924652455,-9.20779720515053,13476.0,0.3990056396556842,0.1186553873552983,0.0877856930840011,0.0373998219056099,0.0513505491243692,0.0181804689818937,0.0593647966755713,0.0926832888097358,0.0670080142475512,0.0685663401602849,13476.0,14.0,0,Large Families
